city_id,city,country_id,last_update
1,A Corua (La Corua),87,2022-02-15
2,Abha,82,2022-02-15
3,Abu Dhabi,101,2022-02-15
4,Acua,60,2022-02-15
5,Adana,97,2022-02-15
6,Addis Abeba,31,2022-02-15
7,Aden,107,2022-02-15
8,Adoni,44,2022-02-15
9,Ahmadnagar,44,2022-02-15
10,Akishima,50,2022-02-15
11,Akron,103,2022-02-15
12,al-Ayn,101,2022-02-15
13,al-Hawiya,82,2022-02-15
14,al-Manama,11,2022-02-15
15,al-Qadarif,89,2022-02-15
16,al-Qatif,82,2022-02-15
17,Alessandria,49,2022-02-15
18,Allappuzha (Alleppey),44,2022-02-15
19,Allende,60,2022-02-15
20,Almirante Brown,6,2022-02-15
21,Alvorada,15,2022-02-15
22,Ambattur,44,2022-02-15
23,Amersfoort,67,2022-02-15
24,Amroha,44,2022-02-15
25,Angra dos Reis,15,2022-02-15
26,Anpolis,15,2022-02-15
27,Antofagasta,22,2022-02-15
28,Aparecida de Goinia,15,2022-02-15
29,Apeldoorn,67,2022-02-15
30,Araatuba,15,2022-02-15
31,Arak,46,2022-02-15
32,Arecibo,77,2022-02-15
33,Arlington,103,2022-02-15
34,Ashdod,48,2022-02-15
35,Ashgabat,98,2022-02-15
36,Ashqelon,48,2022-02-15
37,Asuncin,73,2022-02-15
38,Athenai,39,2022-02-15
39,Atinsk,80,2022-02-15
40,Atlixco,60,2022-02-15
41,Augusta-Richmond County,103,2022-02-15
42,Aurora,103,2022-02-15
43,Avellaneda,6,2022-02-15
44,Bag,15,2022-02-15
45,Baha Blanca,6,2022-02-15
46,Baicheng,23,2022-02-15
47,Baiyin,23,2022-02-15
48,Baku,10,2022-02-15
49,Balaiha,80,2022-02-15
50,Balikesir,97,2022-02-15
51,Balurghat,44,2022-02-15
52,Bamenda,19,2022-02-15
53,Bandar Seri Begawan,16,2022-02-15
54,Banjul,37,2022-02-15
55,Barcelona,104,2022-02-15
56,Basel,91,2022-02-15
57,Bat Yam,48,2022-02-15
58,Batman,97,2022-02-15
59,Batna,2,2022-02-15
60,Battambang,18,2022-02-15
61,Baybay,75,2022-02-15
62,Bayugan,75,2022-02-15
63,Bchar,2,2022-02-15
64,Beira,63,2022-02-15
65,Bellevue,103,2022-02-15
66,Belm,15,2022-02-15
67,Benguela,4,2022-02-15
68,Beni-Mellal,62,2022-02-15
69,Benin City,69,2022-02-15
70,Bergamo,49,2022-02-15
71,Berhampore (Baharampur),44,2022-02-15
72,Bern,91,2022-02-15
73,Bhavnagar,44,2022-02-15
74,Bhilwara,44,2022-02-15
75,Bhimavaram,44,2022-02-15
76,Bhopal,44,2022-02-15
77,Bhusawal,44,2022-02-15
78,Bijapur,44,2022-02-15
79,Bilbays,29,2022-02-15
80,Binzhou,23,2022-02-15
81,Birgunj,66,2022-02-15
82,Bislig,75,2022-02-15
83,Blumenau,15,2022-02-15
84,Boa Vista,15,2022-02-15
85,Boksburg,85,2022-02-15
86,Botosani,78,2022-02-15
87,Botshabelo,85,2022-02-15
88,Bradford,102,2022-02-15
89,Braslia,15,2022-02-15
90,Bratislava,84,2022-02-15
91,Brescia,49,2022-02-15
92,Brest,34,2022-02-15
93,Brindisi,49,2022-02-15
94,Brockton,103,2022-02-15
95,Bucuresti,78,2022-02-15
96,Buenaventura,24,2022-02-15
97,Bydgoszcz,76,2022-02-15
98,Cabuyao,75,2022-02-15
99,Callao,74,2022-02-15
100,Cam Ranh,105,2022-02-15
101,Cape Coral,103,2022-02-15
102,Caracas,104,2022-02-15
103,Carmen,60,2022-02-15
104,Cavite,75,2022-02-15
105,Cayenne,35,2022-02-15
106,Celaya,60,2022-02-15
107,Chandrapur,44,2022-02-15
108,Changhwa,92,2022-02-15
109,Changzhou,23,2022-02-15
110,Chapra,44,2022-02-15
111,Charlotte Amalie,106,2022-02-15
112,Chatsworth,85,2022-02-15
113,Cheju,86,2022-02-15
114,Chiayi,92,2022-02-15
115,Chisinau,61,2022-02-15
116,Chungho,92,2022-02-15
117,Cianjur,45,2022-02-15
118,Ciomas,45,2022-02-15
119,Ciparay,45,2022-02-15
120,Citrus Heights,103,2022-02-15
121,Citt del Vaticano,41,2022-02-15
122,Ciudad del Este,73,2022-02-15
123,Clarksville,103,2022-02-15
124,Coacalco de Berriozbal,60,2022-02-15
125,Coatzacoalcos,60,2022-02-15
126,Compton,103,2022-02-15
127,Coquimbo,22,2022-02-15
128,Crdoba,6,2022-02-15
129,Cuauhtmoc,60,2022-02-15
130,Cuautla,60,2022-02-15
